id,lat,lng
1,-12.3849581976,-76.7867039502
2,-12.1075669,-77.0497901
3,-12.1208893,-76.9801476
4,-12.2913371963,-76.8327209483
5,-12.0784625,-76.999114
6,-12.0199542,-76.8865085
7,-12.1250829908,-77.0272783514
8,-11.96615985,-77.0791706
9,-12.0756385,-76.9110056
10,-12.3849381,-76.7704642
11,-12.1347041068,-76.9793715199
12,-12.1410002878,-76.9384146798
13,-11.9689301,-76.9939836
14,-12.1798431,-77.0052306
15,-12.197854,-76.97812271
16,-12.1007226,-77.0530283
17,-12.0760301,-77.057744
18,-11.8526641,-77.0593114
19,-11.9615853,-77.0784446
20,-11.96,-77.077
21,-11.9593005,-77.0760254
22,-12.09203316,-77.0347868931
23,-12.09203316,-77.03478689
24,-12.07510646,-77.06572897
25,-12.0928169676,-77.0804566901
26,-12.0966772,-77.0230273
27,-12.1087622,-77.0392446
28,-11.9947642,-76.7682775
29,-12.049,-77.037
30,-12.0633901,-76.9977021
31,-11.87254692,-77.08646924
32,-12.03402739,-77.05118467
33,-12.0774048,-76.9754438
34,-11.973,-77.075
35,-12.3835967638,-76.7845404329
36,-12.173168,-76.9655917
37,-12.1361186,-76.9755739
38,-12.1194244,-77.0032617
39,-12.0881225457,-76.9432254979
40,-11.8531841,-77.0674225
41,-11.8424400321,-77.0789995099
42,-12.04098586,-76.99827534
43,-12.0409858633,-76.9982753372
44,-12.1027700113,-77.0194670613
45,-12.1145803079,-76.9881675537
46,-12.113,-76.988
47,-12.0926388,-77.0809067
48,-12.093,-77.081
49,-12.094,-77.079
50,-11.995126801,-77.0696530836
51,-12.1247636,-76.9880677
52,-12.0976943,-76.9510851
53,-12.0865934,-77.0059903
54,-12.0870121482,-76.9562315603
55,-12.0970590609,-76.9515055005
56,-12.1509687,-76.9856673
57,-12.2118571,-77.0089452
58,-12.1126235,-76.9804638
59,-12.1158391,-76.9818284
60,-12.1172657097,-76.986965924
61,-12.1170978729,-76.986965924
62,-12.2150498,-77.0089682
63,-12.2091904,-77.0059442
64,-12.0865438,-77.0236182
65,-12.1153117,-77.0042809
66,-12.0924874,-77.0587625
67,-12.1113383,-77.0390983
68,-12.106,-76.971
69,-11.9350936,-77.0726172
70,-12.1760697,-77.0029788
71,-12.3648751,-76.7945468
72,-12.134,-77.027
73,-12.0755911,-77.051116
74,-12.0764212,-77.071914
75,-12.217,-76.961
76,-11.85,-77.088
77,-12.0713223,-76.9810061
78,-12.0746809,-77.0792089
79,-11.8648256,-77.0744298
80,-11.977252,-76.7964036
81,-12.0711266776,-77.0988366706
82,-12.0637471,-77.0974472
83,-12.1172427,-76.9904002
84,-12.2192488,-76.94522385
85,-11.9976612,-77.0093869
86,-11.9876838245,-77.0086222715
87,-11.9493051,-77.0861208
88,-11.9440252298,-77.0851377774
89,-12.08612172,-76.90206368
90,-11.9836125,-77.0736334
91,-12.1675125,-76.9201161
92,-11.91245183,-77.05690091
93,-12.200302,-77.0065211
94,-12.1656304,-77.02313
95,-12.0725737,-77.0619459
96,-12.07431743,-77.06275801
